gadm_name,year,dengue_total,n_months,source
Hậu Giang,2008,825,12,OpenDengue
Hậu Giang,2009,1032,12,OpenDengue
Hậu Giang,2010,1052,12,OpenDengue
Hậu Giang,2011,692,12,GDPM
Hậu Giang,2012,686,12,GDPM
Hậu Giang,2013,365,12,GDPM
Hậu Giang,2014,195,12,GDPM
Hậu Giang,2015,163,12,GDPM
Hậu Giang,2016,314,12,GDPM
Hậu Giang,2017,385,12,GDPM
Hồ Chí Minh,1994,1619,11,OpenDengue
Hồ Chí Minh,1995,6463,12,OpenDengue
Hồ Chí Minh,1996,4452,12,OpenDengue
Hồ Chí Minh,1997,6493,12,OpenDengue
Hồ Chí Minh,1998,6973,12,OpenDengue
Hồ Chí Minh,1999,846,12,OpenDengue
Hồ Chí Minh,2000,1946,12,OpenDengue
Hồ Chí Minh,2001,1340,12,OpenDengue
Hồ Chí Minh,2002,1692,12,OpenDengue
Hồ Chí Minh,2003,8626,12,OpenDengue
Hồ Chí Minh,2004,7755,12,OpenDengue
Hồ Chí Minh,2005,6195,12,OpenDengue
Hồ Chí Minh,2006,8746,12,OpenDengue
Hồ Chí Minh,2007,9748,12,OpenDengue
Hồ Chí Minh,2008,18841,12,OpenDengue
Hồ Chí Minh,2009,17022,12,OpenDengue
Hồ Chí Minh,2010,6547,12,OpenDengue
Hồ Chí Minh,2011,11626,12,GDPM
Hồ Chí Minh,2012,9839,12,GDPM
Hồ Chí Minh,2013,6810,12,GDPM
Hồ Chí Minh,2014,6715,12,GDPM
Hồ Chí Minh,2015,11788,12,GDPM
Hồ Chí Minh,2016,18957,12,GDPM
Hồ Chí Minh,2017,33729,12,GDPM
Khánh Hòa,1994,1345,10,OpenDengue
Khánh Hòa,1995,4980,12,OpenDengue
Khánh Hòa,1996,1818,11,OpenDengue
Khánh Hòa,1997,3726,12,OpenDengue
Khánh Hòa,1998,7558,12,OpenDengue
Khánh Hòa,1999,1507,12,OpenDengue
Khánh Hòa,2000,754,12,OpenDengue
Khánh Hòa,2001,1121,12,OpenDengue
Khánh Hòa,2002,1194,12,OpenDengue
Khánh Hòa,2003,590,12,OpenDengue
Khánh Hòa,2004,1602,12,OpenDengue
Khánh Hòa,2005,5362,12,OpenDengue
Khánh Hòa,2006,1053,12,OpenDengue
Khánh Hòa,2007,3372,12,OpenDengue
Khánh Hòa,2008,3011,12,OpenDengue
Khánh Hòa,2009,2253,12,OpenDengue
Khánh Hòa,2010,6926,12,OpenDengue
Khánh Hòa,2011,845,12,GDPM
Khánh Hòa,2012,5290,12,GDPM
Khánh Hòa,2013,6946,12,GDPM
Khánh Hòa,2014,1068,12,GDPM
Khánh Hòa,2015,9187,12,GDPM
Khánh Hòa,2016,5059,12,GDPM
Khánh Hòa,2017,3100,12,GDPM
Kiên Giang,1994,1077,11,OpenDengue
Kiên Giang,1995,2948,12,OpenDengue
Kiên Giang,1996,5104,12,OpenDengue
Kiên Giang,1997,7699,12,OpenDengue
Kiên Giang,1998,8843,12,OpenDengue
Kiên Giang,1999,1145,12,OpenDengue
Kiên Giang,2000,595,12,OpenDengue
Kiên Giang,2001,2250,12,OpenDengue
Kiên Giang,2002,1101,12,OpenDengue
Kiên Giang,2003,3120,12,OpenDengue
Kiên Giang,2004,6153,12,OpenDengue
