gadm_name,year,observed,population,expected,sir_raw,province_id,time_id
Quảng Trị,2005,2,588692,412.3545102645995,0.004850195524032563,44,12
Quảng Trị,2006,75,591005,492.7703329890303,0.15220072106424798,44,13
Quảng Trị,2007,34,593328,742.3649690961802,0.045799574892919,44,14
Quảng Trị,2008,45,595659,678.595457820526,0.06631344121360379,44,15
Quảng Trị,2009,74,598000,734.3285008390825,0.100772338150356,44,16
Quảng Trị,2010,268,600350,888.1692348282764,0.30174429544591985,44,17
Sóc Trăng,1994,1492,1140621,762.2841603971863,1.957275354144309,45,1
Sóc Trăng,1995,1625,1150137,1414.1604609843173,1.1490916659266015,45,2
Sóc Trăng,1996,1212,1159732,1579.5202433684822,0.767321599763287,45,3
Sóc Trăng,1997,3191,1169407,1714.7970170019453,1.8608616462250238,45,4
Sóc Trăng,1998,7346,1179163,3751.9074270529904,1.9579374339121316,45,5
Sóc Trăng,1999,1035,1189000,571.7222832935626,1.8103195034442239,45,6
Sóc Trăng,2000,307,1198919,401.8733513490518,0.7639222629951185,45,7
Sóc Trăng,2001,268,1208921,666.4726091351829,0.402117050763358,45,8
Sóc Trăng,2002,1211,1219007,499.993385254109,2.4220320422529986,45,9
Sóc Trăng,2003,1144,1229176,784.5212248529057,1.4582142123873003,45,10
Sóc Trăng,2004,5824,1239431,1211.4140106158154,4.807604955005765,45,11
Sóc Trăng,2005,3943,1249770,875.4124334854025,4.504162665706243,45,12
Sóc Trăng,2006,4390,1260197,1050.731711782095,4.1780408364703625,45,13
Sóc Trăng,2007,5249,1270710,1589.8973078637905,3.301471091269809,45,14
Sóc Trăng,2008,4640,1281311,1459.7140724063197,3.1787047119104774,45,15
Sóc Trăng,2009,4622,1292000,1586.5425135185528,2.9132531656838903,45,16
Sóc Trăng,2010,5395,1302778,1927.3546088300363,2.799173527945089,45,17
Sơn La,1994,0,799773,534.493306552605,0,46,1
Sơn La,1995,0,815950,1003.2580711168788,0,46,2
Sơn La,1996,2,832455,1133.7787731935566,0.0017640125633738282,46,3
Sơn La,1997,0,849294,1245.389173963941,0,46,4
Sơn La,1998,1,866473,2756.978029365648,3.6271598443970537e-4,46,5
Sơn La,1999,0,884000,425.06517950505406,0,46,6
Sơn La,2000,0,901881,302.3072784633776,0,46,7
Sơn La,2001,20,920124,507.26014603758307,0.03942750116725747,46,8
Sơn La,2002,0,938737,385.0365834595589,0,46,9
Sơn La,2003,0,957725,611.2677029752037,0,46,10
Sơn La,2004,1,977098,955.0109743460443,0.0010471083860421212,46,11
Sơn La,2005,4,996862,698.260791400918,0.005728518698543584,46,12
Sơn La,2006,0,1017027,847.9805305349947,0,46,13
Sơn La,2007,0,1037599,1298.2315845017047,0,46,14
Sơn La,2008,0,1058587,1205.9791422741152,0,46,15
Sơn La,2009,11,1080000,1326.2120082043632,0.008294299804217238,46,16
Sơn La,2010,1,1101846,1630.0919775440943,6.134623160998593e-4,46,17
Tây Ninh,1994,396,914865,611.4100112147433,0.6476832121430774,54,1
Tây Ninh,1995,1406,924296,1136.4757915326265,1.2371578967853762,54,2
Tây Ninh,1996,3397,933824,1271.8403146100388,2.670932790050424,54,3
Tây Ninh,1997,1154,943450,1383.457808693197,0.834141809564875,54,4
Tây Ninh,1998,4656,953175,3032.8498789236382,1.5351897343670764,54,5
